file_index,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20
1,283.15,282.1166666666667,281.85,281.75,280.22777777777776,277.21,273.1833333333333,271.45,272.15,272.03999999999996,270.9730769230769,269.8785714285714,266.4,258.75,255.08999999999997,258.00000000000006,236.2772727272727,248.14999999999998,256.33181818181816,258.62,260.54999999999995
2,281.95,281.2,281.34999999999997,281.17499999999995,280.95,280.65,280.04999999999995,278.74,273.53999999999996,263.45,269.7944444444444,269.05999999999995,261.3944444444444,259.20454545454544,254.75909090909087,249.77,247.17,244.85,244.1833333333333,247.06538461538457,246.14999999999998
3,283.54999999999995,282.66999999999996,282.75,282.54999999999995,271.5590909090909,264.84999999999997,257.8954545454545,274.21666666666664,279.4785714285714,279.9576923076923,280.0357142857143,279.4576923076923,277.7,278.3954545454545,277.6653846153846,279.34090909090907,278.79166666666663,276.65,275.9083333333333,270.4576923076923,269.34090909090907
4,290.84999999999997,290.04999999999995,289.84999999999997,289.75,289.84999999999997,289.65,289.41363636363633,288.83,286.2590909090909,285.35,283.34999999999997,283.04230769230765,282.95,283.15,282.75,283.49615384615385,284.1409090909091,283.2409090909091,282.45,282.25,281.69545454545454
5,283.04999999999995,282.2318181818182,281.54999999999995,280.42999999999995,278.7409090909091,278.25,276.89,275.75,275.5916666666666,275.84999999999997,274.7166666666667,274.9375,264.37499999999994,254.91363636363633,254.9681818181818,261.58636363636356,264.6333333333333,274.5833333333333,276.6785714285714,276.75,276.4681818181818
6,282.25,281.06666666666666,280.84999999999997,280.42272727272723,279.75,279.54999999999995,279.04999999999995,278.65,278.1681818181818,277.41,276.56818181818176,276.59999999999997,275.34999999999997,273.3999999999999,269.84090909090907,256.15,247.83461538461535,249.02692307692305,247.78333333333333,256.2954545454545,274.06818181818176
7,284.04999999999995,283.3611111111111,283.34999999999997,283.15,282.1928571428571,278.42272727272723,277.84999999999997,277.34999999999997,276.9772727272727,276.96666666666664,276.15,276.95,278.2954545454545,278.54999999999995,278.85999999999996,278.75,278.04999999999995,277.08636363636356,275.04999999999995,272.97999999999996,266.62999999999994
8,278.95,277.75,277.75,277.5142857142857,277.01666666666665,276.84999999999997,275.92499999999995,274.95,274.25999999999993,272.3766666666666,271.3653846153846,266.8357142857143,262.2071428571428,261.25,260.45909090909083,253.11666666666662,248.92777777777775,229.95,229.77222222222218,229.95,229.95
9,282.15,281.34090909090907,281.04999999999995,280.45,279.84999999999997,279.34999999999997,279.15,277.87727272727267,276.7954545454545,276.34999999999997,276.40999999999997,278.84999999999997,280.5083333333333,281.07,275.1590909090909,276.12499999999994,275.45,271.9863636363636,269.24999999999994,245.62777777777768,229.64999999999998
10,284.65,284.0899999999999,283.7875,281.45,281.34999999999997,279.85909090909087,279.6590909090909,279.34999999999997,279.04999999999995,278.68636363636364,277.18636363636364,277.93,276.51363636363635,274.24999999999994,267.5772727272727,261.9583333333333,255.40454545454543,247.96999999999997,244.45,254.13888888888894,253.08999999999997
11,284.15,283.65,283.6083333333333,283.3428571428571,283.04999999999995,282.84999999999997,281.7954545454545,280.75,278.48846153846154,276.4863636363636,276.15,274.34999999999997,273.04999999999995,270.1807692307692,263.5583333333333,266.31666666666666,265.04999999999995,258.1499999999999,254.60384615384612,263.76666666666665,263.71363636363634
12,283.34999999999997,281.40714285714284,277.70454545454544,276.84999999999997,276.34999999999997,276.0954545454545,275.95,275.65,275.2611111111111,274.54999999999995,273.91666666666663,272.34230769230766,271.65,270.54999999999995,270.4,270.09999999999997,268.04999999999995,267.3863636363636,266.65,266.78,266.95
13,281.65,281.04999999999995,280.84999999999997,280.25,279.89,276.09999999999997,275.51,274.54999999999995,274.34999999999997,273.15,271.7772727272727,271.15,266.43181818181813,256.02,264.1772727272727,267.2590909090909,268.43999999999994,270.91,271.4863636363636,268.64,266.59
14,283.75,282.93888888888887,282.97222222222223,280.60999999999996,280.32272727272726,280.15,277.54999999999995,276.25,276.35909090909087,276.04999999999995,275.91363636363633,279.0807692307692,281.91153846153844,281.75,282.34999999999997,281.59,280.34999999999997,279.74,278.15,278.54999999999995,278.25
15,278.75,277.7423076923077,277.04999999999995,276.15,272.9590909090909,267.9916666666667,268.4318181818182,262.6136363636364,256.1954545454545,252.08333333333331,250.875,254.84999999999997,257.83181818181816,257.9,249.24999999999997,247.66666666666666,245.41363636363633,239.43333333333328,244.06666666666666,246.19545454545454,248.7772727272727
16,288.34999999999997,287.54999999999995,287.75,287.93333333333334,287.54999999999995,287.25,286.8136363636363,286.09999999999997,285.75,285.54999999999995,285.375,284.45909090909083,283.9227272727273,283.25,282.37727272727267,280.5136363636363,278.4,276.45,275.85909090909087,275.45,275.09166666666664
17,286.25,285.3045454545454,285.83461538461535,285.8409090909091,285.40999999999997,285.04999999999995,284.3333333333333,283.5954545454545,282.98749999999995,278.96428571428567,277.25,277.45,276.78,276.45,275.95,276.15,276.0944444444444,276.15,276.45,276.7409090909091,275.96666666666664
18,285.84999999999997,284.8611111111111,284.84999999999997,284.75,284.5388888888889,284.0954545454545,283.8136363636363,282.31,281.6590909090909,282.04999999999995,281.41363636363633,281.04999999999995,281.15,277.39545454545447,276.04999999999995,275.95,275.45,275.04999999999995,275.15,275.15,274.95
19,284.04999999999995,283.1722222222222,283.16999999999996,282.75,282.34999999999997,281.95,281.34999999999997,281.04090909090905,280.59999999999997,280.0799999999999,279.8611111111111,280.36,280.7833333333333,279.2166666666666,277.3944444444444,276.34999999999997,275.65,274.7346153846154,274.34999999999997,274.25,274.04999999999995
20,282.75,281.7166666666667,281.95,281.65,281.45,281.25,281.15,281.2125,281.04999999999995,281.25,281.65,281.53181818181815,280.91999999999996,280.65,280.51666666666665,279.03181818181815,278.53,278.23571428571427,277.29999999999995,277.23,275.7166666666667
21,274.84999999999997,272.84999999999997,272.54999999999995,272.275,272.04999999999995,271.65,271.3954545454545,271.84999999999997,271.84999999999997,271.84999999999997,271.75,271.84999999999997,272.4,272.6772727272727,272.25,272.84090909090907,272.75,272.75,270.79999999999995,270.75,272.34999999999997
22,281.45,280.3192307692307,280.34999999999997,280.1722222222222,279.96999999999997,279.75,279.4884615384615,279.05909090909086,279.04999999999995,278.54999999999995,278.1409090909091,275.68999999999994,274.2071428571428,272.08636363636356,273.7166666666667,272.72999999999996,265.8611111111111,269.64,271.35999999999996,272.34999999999997,272.04166666666663
23,281.25,280.0928571428571,279.95,279.75,279.34999999999997,279.2833333333333,279.27,278.15,277.54999999999995,277.325,276.4227272727273,275.63,270.92999999999995,271.61,275.05999999999995,275.20000000000005,275.92272727272723,277.09,276.85999999999996,273.23,274.57
24,294.54999999999995,293.625,293.45,293.1166666666667,292.65,292.15,291.41999999999996,290.95,290.25,289.75,289.25,285.4,275.95,275.75,278.21666666666664,280.04999999999995,275.67999999999995,274.8785714285714,283.84999999999997,283.45,276.3125
25,293.75,292.5642857142857,292.21000000000004,291.65999999999997,291.34999999999997,291.34999999999997,290.9045454545454,287.61,287.6928571428571,287.75,287.75,284.83,281.2055555555555,276.96111111111105,271.1227272727272,268.31999999999994,261.09,253.36111111111103,267.33000000000004,270.55999999999995,269.73333333333335
26,293.25,292.06999999999994,292.11249999999995,291.70454545454544,291.54999999999995,292.0416666666666,291.75,291.75,291.26428571428573,287.15,282.28999999999996,279.1833333333333,281.3590909090909,283.0772727272727,279.61923076923074,275.1863636363636,263.80555555555554,261.37,252.62777777777774,254.94,251.68999999999994
