file_index,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20
1,288.15,288.84999999999997,287.95,287.03181818181815,286.50555555555553,286.25,286.25,285.75,284.9,284.65,283.9730769230769,283.65714285714284,283.2,282.8499999999999,282.11999999999995,281.65,281.95,281.95,281.6954545454545,280.96,280.125
2,286.95,287.47499999999997,286.61249999999995,285.67499999999995,284.65,283.7681818181818,283.04999999999995,282.65,283.65999999999997,283.91363636363633,283.54999999999995,284.65,284.34999999999997,283.52272727272725,282.8863636363636,282.59,282.25,281.875,281.30555555555554,280.5192307692307,279.95
3,287.54999999999995,288.03,287.0083333333333,285.9863636363636,286.8772727272727,287.65,287.9045454545454,287.3833333333333,287.2785714285714,286.75,286.47142857142853,285.6576923076923,285.22499999999997,284.3045454545454,283.5423076923077,282.65,282.15,282.04999999999995,281.3083333333333,281.5115384615384,281.54999999999995
4,292.95,293.45,293.2083333333333,292.71666666666664,292.7954545454545,292.45,291.98636363636365,291.84999999999997,291.54999999999995,291.01666666666665,290.41363636363633,289.54230769230765,288.79166666666663,288.21666666666664,287.5666666666666,286.82692307692304,286.05909090909086,286.04999999999995,285.67499999999995,284.8863636363636,284.1954545454545
5,287.45,288.06818181818176,287.1722222222222,286.39,286.04090909090905,285.0722222222222,284.49,283.8227272727272,283.15,282.34999999999997,281.73333333333335,281.86249999999995,284.67499999999995,285.41363636363633,285.1227272727273,284.41363636363633,283.7583333333333,284.01666666666665,283.93571428571425,283.95,283.6681818181818
6,287.45,288.25,287.30999999999995,286.42272727272723,285.9,285.0,284.2166666666667,283.4,282.56818181818176,281.93,281.1681818181818,281.0,280.34999999999997,280.76666666666665,280.84999999999997,281.1166666666666,283.3807692307692,283.2346153846154,282.71666666666664,282.53181818181815,282.04999999999995
7,288.75,289.23888888888894,288.21999999999997,287.2333333333333,286.46428571428567,287.15,286.75,286.25000000000006,285.54999999999995,284.76666666666665,284.04999999999995,283.9423076923077,283.8863636363636,283.47499999999997,283.44,282.53181818181815,281.95,281.4681818181818,280.8166666666666,280.04999999999995,279.83
8,288.25,289.0875,288.275,287.3142857142857,286.2166666666667,285.45,284.65,284.0199999999999,283.40999999999997,283.2633333333333,282.75,283.82142857142856,284.4214285714285,283.71666666666664,282.95,283.27222222222224,283.15,284.65,284.3722222222222,284.54999999999995,284.5799999999999
9,288.04999999999995,288.95909090909095,288.05909090909086,287.2863636363636,286.53888888888883,285.75,284.87,284.34999999999997,283.69545454545454,283.04999999999995,282.87,282.95,282.2916666666667,283.43,284.75,284.125,283.54999999999995,283.3772727272727,283.04999999999995,284.33888888888885,284.23333333333335
10,289.15,290.5899999999999,289.95,289.84999999999997,288.73,288.2590909090909,287.65,286.95,286.21363636363634,285.51363636363635,285.4863636363636,284.95,284.6045454545454,283.95,284.22272727272724,283.75,283.53181818181815,283.25,283.30555555555554,283.04999999999995,282.39
