file_index,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20
1,-8.853490990993066,-8.471881401000246,-8.51087424273993,-8.606886234621413,-8.38200309495079,-7.9786074947012935,-7.424362853085654,-7.430519954269812,-7.80455359830421,-7.575415137184393,-7.723906609917606,-7.5264717096977165,-7.497952531702595,-7.38164819334844,-7.653563183792755,-7.695354281587697,-6.971649942899774,-6.5566272116271875,-6.418036248973692,-6.736587960650638,-7.155074452261772
2,-10.053490990993055,-9.846881401000246,-9.848374242739965,-9.963704416439612,-10.237558650506344,-10.460425676519492,-10.6243628530857,-10.530519954269835,-9.04455359830422,-8.311778773548042,-8.146983532994568,-6.533614566840583,-6.347952531702617,-6.708920920621097,-6.887199547429077,-6.7553542815876995,-6.671649942899762,-6.631627211627176,-6.807935238872631,-7.177357191419901,-7.330074452261783
3,-9.453490990993089,-9.29188140100024,-9.452540909406594,-9.652340780075974,-8.010285923233596,-6.578607494701316,-5.769817398540226,-5.797186620936486,-5.425982169732777,-5.4754151371843705,-5.22555496156599,-5.525922259148274,-5.472952531702617,-5.927102738802944,-6.231255491485001,-6.695354281587697,-6.771649942899785,-6.456627211627222,-6.805157461094893,-6.1850494991122105,-5.730074452261817
4,-4.053490990993055,-3.8718814010002234,-3.252540909406605,-2.922037749772926,-2.092104105051817,-1.7786074947013049,-1.6879992167220053,-1.330519954269846,-1.1545535983042328,-1.208748470517719,-1.2833471693581942,-1.6413068745329156,-1.9062858650359544,-2.0149815266817086,-2.206896517126097,-2.518431204664637,-2.862559033808907,-2.4566272116272216,-2.438490794428219,-2.8102243242869918,-3.0846199068072906
5,-9.553490990993055,-9.253699582818456,-9.288652020517702,-9.24870441643958,-8.846649559597267,-9.156385272479099,-9.184362853085645,-9.357792681542605,-9.55455359830421,-9.875415137184405,-9.963650199661174,-9.321114566840606,-6.022952531702629,-4.81801182971202,-4.650835911065428,-4.931717917951346,-5.1633166095664365,-4.489960544960525,-4.177776508713919,-3.746587960650629,-3.611892634079993
6,-9.553490990993055,-9.071881401000212,-9.150874242739974,-9.215977143712337,-8.987558650506344,-9.228607494701293,-9.457696186418957,-9.780519954269835,-10.136371780122431,-10.295415137184364,-10.528801714812744,-10.18361456684056,-10.347952531702617,-9.464981526681697,-8.923563183792737,-8.228687614921057,-5.5408807121305585,-5.272011827011795,-5.396824127761533,-5.164769778832465,-5.230074452261817
7,-8.253490990993043,-8.082992512111275,-8.240874242739949,-8.405371083106274,-8.423272936220656,-7.078607494701316,-6.924362853085654,-6.930519954269755,-7.154553598304233,-7.458748470517719,-7.646983532994568,-7.2413068745328815,-6.811588895338957,-6.756648193348383,-6.333563183792705,-6.813536099769522,-6.971649942899774,-7.038445393445386,-7.2968241277615675,-7.646587960650663,-7.450074452261788
8,-8.753490990993043,-8.234381401000235,-8.185874242739942,-8.324418702153878,-8.670891983839624,-8.778607494701305,-9.024362853085677,-9.160519954269887,-9.29455359830422,-8.96208180385105,-8.946983532994523,-7.3621859954120055,-6.276523960274062,-6.514981526681709,-6.823563183792714,-6.0731320593654345,-5.771649942899785,-3.856627211627199,-3.7412685722059678,-3.1465879606506633,-2.7000744522618447
9,-8.953490990993089,-8.362790491909266,-8.401783333649064,-8.352340780075963,-8.348669761617487,-8.478607494701293,-8.80436285308565,-8.830519954269846,-9.009099052849649,-9.175415137184416,-8.826983532994518,-8.233614566840572,-8.406285865035898,-6.801648193348342,-5.023563183792703,-5.2203542815876744,-5.371649942899808,-5.129354484354451,-5.063490794428219,-3.357699071761772,-3.0467411189284235
10,-7.853490990993066,-6.731881401000294,-6.510874242739931,-5.7887044164396,-6.157558650506303,-5.969516585610393,-6.024362853085677,-6.230519954269823,-6.490917234667847,-6.711778773548019,-6.210619896630931,-6.233614566840572,-6.093407077157167,-6.28164819334836,-5.550835911065462,-5.5953542815876744,-5.389831761081609,-5.256627211627176,-4.807935238872631,-4.646587960650663,-4.890074452261786
