file_index,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,level_17,level_18,level_19,level_20
1,-7.794594594594571,-8.373231974986709,-8.217735694141822,-7.977332878941297,-8.95915424489499,-11.332134369946857,-14.609280025391854,-15.657929816679996,-14.203427111552458,-13.542399731741739,-13.984337582306239,-14.369563394094257,-17.016747019090758,-23.80029934324989,-26.575198971127463,-22.63827387544501,-43.33557349932369,-30.570349116911586,-21.389686564061492,-18.272064425502663,-15.724144896019993
2,-8.99459459459456,-9.289898641653394,-8.71773569414188,-8.552332878941343,-8.236932022672761,-7.892134369946859,-7.74261335872518,-8.367929816679975,-12.813427111552471,-22.132399731741714,-15.162970060938733,-15.188134822665688,-22.022302574646346,-23.34575388870445,-26.906108062036566,-30.868273875445055,-32.4428462265964,-33.87034911691157,-33.53817141254635,-29.826679810118094,-30.12414489601997
3,-7.394594594594594,-7.819898641653424,-7.317735694141845,-7.177332878941343,-17.627841113581837,-23.69213436994687,-29.897158813270607,-12.891263150013344,-6.874855682981035,-5.624707424049404,-4.921700219668878,-4.790442514973336,-5.716747019090747,-4.154844797795363,-3.999814355742842,-1.2973647845360006,-0.8211795599297602,-2.0703491169115864,-1.8131714125463532,-6.434372117810369,-6.933235805110883
4,-0.0945945945945823,-0.4398986416534285,-0.21773569414187932,0.022667121058702833,0.6630679773272163,1.1078656300531406,1.6210230049111942,1.7220701833199996,-0.09433620246153396,-0.23239973174167972,-1.6074145053831899,-1.2058271303579886,-0.46674701909074656,0.5997006567500875,1.0848010288725618,2.8578799707087796,4.5280628643126875,4.5205599739975355,4.7284952541203324,5.357935574497333,5.4213096494345905
5,-7.894594594594594,-8.258080459835185,-8.51773569414189,-9.297332878941347,-10.44602293176365,-10.292134369946837,-10.902613358725148,-11.357929816679984,-10.761760444885851,-9.732399731741737,-10.240747838716459,-9.310634822665634,-19.041747019090792,-27.63666297961356,-26.697017152945648,-19.051910239081508,-14.979512893263063,-4.137015783578249,-1.0429333173082682,-0.1420644255026673,0.19403692216184254
6,-8.694594594594548,-9.42323197498672,-9.21773569414188,-9.304605606214068,-9.43693202267275,-8.992134369946882,-8.74261335872518,-8.457929816680007,-8.185245293370656,-8.172399731741677,-8.3892326872014,-7.648134822665668,-8.06674701909077,-9.15029934324997,-11.824289880218373,-24.48827387544509,-31.778230841981042,-29.69342603998851,-29.938171412546325,-20.596609880048163,-2.2059630778381916
7,-6.894594594594594,-7.128787530542297,-6.717735694141879,-6.57733287894132,-6.994074879815628,-10.119407097219607,-9.942613358725168,-9.757929816680019,-9.376154384279744,-8.615733065075062,-8.807414505383178,-7.298134822665645,-5.121292473636231,-4.000299343249935,-2.8051989711274814,-1.8882738754450656,-1.5628462265964345,-1.6339854805480059,-2.6715047458797017,-3.912064425502706,-9.64414489602001
8,-11.99459459459456,-12.739898641653383,-12.317735694141845,-12.21304716465562,-12.170265356006098,-11.69213436994687,-11.86761335872518,-12.157929816679996,-12.0934271115525,-13.205733065075094,-13.592029889998571,-17.412420536951345,-21.209604161947937,-21.30029934324989,-21.206108062036606,-27.52160720877845,-30.68506844881864,-48.770349116911575,-47.94928252365747,-46.94206442550268,-46.32414489601996
9,-8.794594594594571,-9.148989550744318,-9.01773569414189,-9.277332878941309,-9.336932022672784,-9.19213436994687,-8.642613358725157,-9.230657089407316,-9.55797256609793,-9.232399731741737,-8.547414505383188,-5.398134822665668,-2.9084136857574094,-1.4802993432498965,-6.50610806203656,-4.5132738754451225,-4.1628462265964,-6.733985480547972,-8.471504745879713,-31.264286647724987,-46.62414489601997
10,-6.294594594594571,-6.399898641653465,-6.2802356941418225,-8.277332878941309,-7.836932022672784,-8.68304346085597,-8.133522449634256,-7.757929816680019,-7.30342711155248,-6.896036095378065,-7.771050869019518,-6.318134822665627,-6.903110655454384,-8.300299343249947,-14.087926243854724,-18.67994054211175,-24.20830077205096,-30.750349116911593,-33.27150474587967,-22.753175536613725,-23.184144896019973
