,cumulative_explained_variance_ratio
PC1,0.8552251772256023
PC2,0.9212469856082376
PC3,0.9450101086906476
PC4,0.9624434776368199
PC5,0.9722120211042413
PC6,0.9800483918247969
PC7,0.9844467086187534
PC8,0.9877453292765548
PC9,0.9900715475632664
PC10,0.9917405958111326
PC11,0.992989270215138
PC12,0.994189043863282
PC13,0.9950243176604855
PC14,0.9957119221289437
PC15,0.9962979339381426
PC16,0.9967915877651614
PC17,0.99719783390376
PC18,0.9975637812616068
PC19,0.997889290091335
PC20,0.9981890753761101
PC21,0.9984219956928865
PC22,0.998649265009707
PC23,0.9988648382763402
PC24,0.9990372608159122
PC25,0.9991845500728295
PC26,0.9993217478029519
PC27,0.9994416571507334
PC28,0.9995326838927296
PC29,0.9996191676318619
PC30,0.9996810671494788
PC31,0.9997294142088516
PC32,0.9997709786869623
PC33,0.9998079503669128
PC34,0.9998407996725063
PC35,0.9998696094259375
PC36,0.999897539616296
PC37,0.9999224039120935
PC38,0.9999429246662519
PC39,0.9999623843714516
PC40,0.9999781134894851
PC41,0.9999910120052561
PC42,0.9999999999999999
