,cumulative_explained_variance_ratio
PC1,0.9611356116267701
PC2,0.9821178677884329
PC3,0.9910703747059615
PC4,0.994769565075954
PC5,0.9964451963722359
PC6,0.9974420870866992
PC7,0.9980411910057604
PC8,0.9984832552609191
PC9,0.9988237701618008
PC10,0.9990894140752793
PC11,0.9992662988601381
PC12,0.9994061267032147
PC13,0.9995243927235326
PC14,0.9996149763990521
PC15,0.9996922674382528
PC16,0.9997599065279741
PC17,0.9998232992208143
PC18,0.9998772583903158
PC19,0.9999257973268839
PC20,0.9999691462702862
PC21,1.0000000000000002
