,explained_variance
PC1,504.6769878174578
PC2,11.017448223939406
PC3,4.700818666895613
PC4,1.942385893007742
PC5,0.8798472817679697
PC6,0.5234514223304778
PC7,0.31457991734347807
PC8,0.2321208932604817
PC9,0.17879894616859268
PC10,0.13948538423153128
PC11,0.0928793807381207
PC12,0.07342137134787155
PC13,0.06209960194290089
PC14,0.04756404398464156
PC15,0.040584292556889244
PC16,0.03551620775084132
PC17,0.03328649244205523
PC18,0.028333099720560393
PC19,0.0254870218132891
PC20,0.022761839137664483
PC21,0.01620080162113365
