,explained_variance
PC1,1520.2101423031813
PC2,152.00883202426652
PC3,68.72480582294558
PC4,28.816080423431114
PC5,13.597623246326409
PC6,8.32574381560633
PC7,5.997496750864139
PC8,4.786732994340769
PC9,3.183811705326143
PC10,2.3178745801255434
PC11,1.6523449006853126
PC12,1.5260706363446115
PC13,1.3218340615092856
PC14,1.087729109011133
PC15,0.7719879453650101
PC16,0.5877287901403826
PC17,0.36506799980293964
PC18,0.35267806278708763
PC19,0.22560627394541197
PC20,0.18176089663410067
PC21,0.07188163268688799
