,explained_variance_ratio
PC1,0.8370676517427129
PC2,0.08370005733150081
PC3,0.03784168400529858
PC4,0.015866891096994205
PC5,0.007487208671585477
PC6,0.00458437332498148
PC7,0.003302379310517174
PC8,0.0026357009702761844
PC9,0.0017530903877082623
PC10,0.0012762826518709477
PC11,0.0009098245218849875
PC12,0.0008402945937613208
PC13,0.0007278365688211833
PC14,0.0005989322302722523
PC15,0.00042507684866602833
PC16,0.0003236189159210862
PC17,0.00020101603378232924
PC18,0.00019419380888427236
PC19,0.00012422474281338308
PC20,0.00010008232591689519
PC21,3.957991583024557e-05
