lambda_um,PC1_plus,PC2_plus,PC3_plus,PC4_plus,PC5_plus,PC6_plus,PC7_plus,PC8_plus,PC9_plus,PC1_minus,PC2_minus,PC3_minus,PC4_minus,PC5_minus,PC6_minus,PC7_minus,PC8_minus,PC9_minus
2.5,0.00061136,-2.74E-05,6.40E-06,1.34E-05,1.66E-05,1.57E-05,-5.44E-06,7.36E-06,-2.24E-06,-0.00053632,2.72E-05,-6.56E-06,-1.34E-05,-1.66E-05,-1.57E-05,5.28E-06,-7.20E-06,2.24E-06
2.500625156,0.000615852,-3.04E-05,7.84E-06,1.49E-05,1.73E-05,1.73E-05,-6.56E-06,8.64E-06,-2.56E-06,-0.000543088,3.04E-05,-8.00E-06,-1.49E-05,-1.71E-05,-1.71E-05,6.56E-06,-8.64E-06,2.56E-06
2.501250625,0.000621778,-1.95E-05,2.24E-06,9.91E-06,1.57E-05,1.21E-05,-2.40E-06,4.16E-06,-1.60E-06,-0.000540899,1.93E-05,-2.24E-06,-9.91E-06,-1.53E-05,-1.20E-05,2.40E-06,-4.00E-06,1.60E-06
2.501876407,0.000610284,-3.87E-05,1.17E-05,1.77E-05,1.90E-05,1.95E-05,-7.67E-06,1.02E-05,-3.20E-06,-0.00054574,3.87E-05,-1.17E-05,-1.77E-05,-1.89E-05,-1.93E-05,7.67E-06,-1.01E-05,3.20E-06
2.502502503,0.000597204,-4.98E-05,1.76E-05,2.28E-05,2.09E-05,2.49E-05,-1.18E-05,1.49E-05,-4.31E-06,-0.00053924,5.00E-05,-1.77E-05,-2.28E-05,-2.09E-05,-2.48E-05,1.17E-05,-1.47E-05,4.31E-06
2.503128911,0.000573763,-5.84E-05,2.47E-05,3.00E-05,1.90E-05,3.53E-05,-2.41E-05,2.71E-05,-5.11E-06,-0.00051886,5.91E-05,-2.46E-05,-2.97E-05,-1.90E-05,-3.51E-05,2.41E-05,-2.70E-05,5.11E-06
2.503755633,0.000599797,-5.15E-05,1.87E-05,2.38E-05,2.15E-05,2.58E-05,-1.23E-05,1.56E-05,-4.47E-06,-0.000541891,5.22E-05,-1.87E-05,-2.36E-05,-2.14E-05,-2.57E-05,1.23E-05,-1.53E-05,4.63E-06
2.50438267,0.000599815,-5.26E-05,1.98E-05,2.50E-05,2.09E-05,2.77E-05,-1.48E-05,1.80E-05,-4.46E-06,-0.000542576,5.33E-05,-1.96E-05,-2.49E-05,-2.07E-05,-2.76E-05,1.48E-05,-1.77E-05,4.62E-06
2.50501002,0.000610192,-5.13E-05,1.80E-05,2.31E-05,2.18E-05,2.49E-05,-1.10E-05,1.43E-05,-4.62E-06,-0.000552663,5.16E-05,-1.80E-05,-2.31E-05,-2.18E-05,-2.47E-05,1.10E-05,-1.42E-05,4.46E-06
2.505637685,0.000587905,-5.88E-05,2.44E-05,2.98E-05,2.01E-05,3.47E-05,-2.26E-05,2.58E-05,-5.10E-06,-0.000531998,5.96E-05,-2.42E-05,-2.96E-05,-1.99E-05,-3.44E-05,2.28E-05,-2.56E-05,5.10E-06
