lambda_um,DeltaI_W_m2_sr_um
2.5,2.7199999999998926e-05
2.5006251562890722,3.038480189999958e-05
2.5012506253126565,1.9340644840000476e-05
2.501876407305479,3.866194178000094e-05
2.5025025025025025,4.997989007999963e-05
2.5031289111389237,5.905209249999939e-05
2.5037556334501754,5.216315772000029e-05
2.504382669671926,5.3253123660000276e-05
2.50501002004008,5.163284735999925e-05
2.5056376847907793,5.9571022940000176e-05
2.506265664160401,6.0018777000000155e-05
2.5068939583855605,4.566778727000103e-05
2.507522567703109,2.6241837600000407e-05
2.508151492350138,2.7500372370000033e-05
2.5087807325639737,5.386098443999933e-05
2.5094102885821834,5.653360100000074e-05
2.5100401606425704,4.5394652160001166e-05
2.5106703489831785,6.060158397999931e-05
2.5113008538422905,6.136397388000099e-05
2.5119316754584275,5.895590292000121e-05
2.512562814070352,6.0193520000001444e-05
2.5131942699170646,5.668013877999957e-05
2.513826043237808,4.50997794000001e-05
2.5144581342720644,5.741400027000059e-05
2.515090543259557,6.291813247999954e-05
2.5157232704402515,6.320249999999979e-05
2.5163563160543534,6.34865575200004e-05
2.5169896803423106,6.361245786999994e-05
2.5176233635448138,6.389597520000019e-05
2.5182573659027954,6.228692195000066e-05
2.5188916876574305,6.209794599999936e-05
2.5195263290501386,6.44296104900001e-05
2.5201612903225805,6.187794432000078e-05
2.5207965717166623,5.570929506000088e-05
2.5214321734745337,5.505204600000056e-05
2.5220680958385877,6.414259799999988e-05
2.522704339051463,6.45816465599993e-05
2.5233409033560434,6.344969075999882e-05
2.523977788995457,6.498741815999954e-05
2.5246149962130775,6.620977861999944e-05
2.525252525252525,6.617635200000058e-05
2.525890376357666,6.692661786999836e-05
2.526528549772612,6.704946992000006e-05
2.5271670457417237,6.701559372000124e-05
2.5278058645096055,6.729472480000113e-05
2.5284450063211126,6.741712774999825e-05
2.5290844714213456,6.753938112000028e-05
2.5297242600556538,6.750522288000074e-05
2.5303643724696356,6.872053760000052e-05
2.531004808909137,6.88418684100002e-05
2.5316455696202533,6.631062500000052e-05
2.532286654849329,6.955192046000092e-05
2.5329280648429586,6.795802944000069e-05
2.533569799847986,6.916991196000057e-05
2.534211860111505,6.97577036800007e-05
2.534854245880862,7.050050325000182e-05
2.535496957403651,6.984256064000022e-05
2.53613999492772,6.794147813000018e-05
2.536783358701167,7.023792528000009e-05
2.537427048972342,7.128949778999975e-05
2.5380710659898478,7.156379600000047e-05
2.538715410002539,7.152747380999996e-05
2.5393600812595225,7.164623928000019e-05
2.54000508001016,7.083485832999961e-05
2.540650406504065,7.203824640000019e-05
2.5412960609911055,7.262101525000019e-05
2.541942043721403,7.196505540000078e-05
2.5425883549453343,7.208315874000001e-05
2.5432349949135302,7.050044544000024e-05
2.543881963876876,7.247344909000041e-05
2.544529262086514,7.228213199999937e-05
2.5451768897938405,7.270846310999945e-05
2.545824847250509,7.421437503999945e-05
