lambda_um,PC1_sens,PC2_sens,PC3_sens,PC4_sens,PC5_sens,PC6_sens,PC7_sens,PC8_sens,PC9_sens
2.5,0.0005738399999999999,-2.73e-05,6.48e-06,1.34e-05,1.66e-05,1.57e-05,-5.3599999999999995e-06,7.28e-06,-2.24e-06
2.500625156,0.0005794699999999999,-3.04e-05,7.919999999999999e-06,1.49e-05,1.7199999999999998e-05,1.7199999999999998e-05,-6.56e-06,8.64e-06,-2.56e-06
2.501250625,0.0005813385,-1.94e-05,2.24e-06,9.91e-06,1.5499999999999997e-05,1.205e-05,-2.4e-06,4.08e-06,-1.6e-06
2.501876407,0.0005780119999999999,-3.87e-05,1.17e-05,1.77e-05,1.895e-05,1.94e-05,-7.67e-06,1.015e-05,-3.2e-06
2.502502503,0.000568222,-4.99e-05,1.7650000000000002e-05,2.28e-05,2.09e-05,2.485e-05,-1.1750000000000001e-05,1.48e-05,-4.31e-06
2.503128911,0.0005463115,-5.8750000000000005e-05,2.4650000000000003e-05,2.985e-05,1.9e-05,3.52e-05,-2.41e-05,2.705e-05,-5.11e-06
2.503755633,0.000570844,-5.185e-05,1.87e-05,2.37e-05,2.145e-05,2.5750000000000002e-05,-1.23e-05,1.545e-05,-4.5500000000000005e-06
2.50438267,0.0005711955,-5.295e-05,1.9699999999999998e-05,2.495e-05,2.0799999999999997e-05,2.765e-05,-1.48e-05,1.785e-05,-4.54e-06
2.50501002,0.0005814275,-5.1450000000000004e-05,1.8e-05,2.31e-05,2.18e-05,2.48e-05,-1.1e-05,1.425e-05,-4.54e-06
2.505637685,0.0005599515,-5.92e-05,2.43e-05,2.97e-05,1.9999999999999998e-05,3.455e-05,-2.27e-05,2.57e-05,-5.1e-06
2.506265664,0.000564527,-5.975e-05,2.45e-05,2.99e-05,2.02e-05,3.46e-05,-2.26e-05,2.55e-05,-5.015e-06
2.506893958,0.0005966249999999999,-4.55e-05,1.5e-05,2.075e-05,2.06e-05,2.27e-05,-9.87e-06,1.275e-05,-3.82e-06
2.507522568,0.0006093674999999999,-2.6399999999999998e-05,4.85e-06,1.23e-05,1.76e-05,1.43e-05,-3.4200000000000003e-06,5.57e-06,-2.1499999999999997e-06
2.508151492,0.0006093,-2.765e-05,5.48e-06,1.28e-05,1.79e-05,1.46e-05,-3.66e-06,5.8e-06,-2.23e-06
2.508780733,0.000586354,-5.3700000000000004e-05,1.99e-05,2.53e-05,2.13e-05,2.8e-05,-1.48e-05,1.77e-05,-4.53e-06
2.509410289,0.0005836775000000001,-5.63e-05,2.14e-05,2.675e-05,2.14e-05,2.995e-05,-1.68e-05,1.99e-05,-4.76e-06
2.510040161,0.0005987015,-4.54e-05,1.425e-05,1.98e-05,2.13e-05,2.1e-05,-7.7e-06,1.08e-05,-3.81e-06
2.510670349,0.0005753185,-6.02e-05,2.45e-05,2.9900000000000002e-05,2.085e-05,3.435e-05,-2.17e-05,2.4650000000000003e-05,-5.08e-06
2.511300854,0.0005750295,-6.1000000000000005e-05,2.525e-05,3.06e-05,2.045e-05,3.565e-05,-2.355e-05,2.665e-05,-5.15e-06
2.511931675,0.0005901135,-5.86e-05,2.265e-05,2.805e-05,2.18e-05,3.1549999999999994e-05,-1.815e-05,2.125e-05,-4.99e-06
2.512562814,0.0005894215000000001,-5.99e-05,2.37e-05,2.915e-05,2.16e-05,3.3100000000000005e-05,-1.9900000000000003e-05,2.3049999999999998e-05,-5.15e-06
2.51319427,0.0005982285000000001,-5.645e-05,2.09e-05,2.64e-05,2.23e-05,2.9199999999999998e-05,-1.54e-05,1.8599999999999998e-05,-4.91e-06
2.513826043,0.0006153350000000001,-4.51e-05,1.3700000000000001e-05,1.955e-05,2.17e-05,2.07e-05,-7.2e-06,1.03e-05,-3.8e-06
2.514458134,0.0006022935,-5.715e-05,2.14e-05,2.68e-05,2.2400000000000002e-05,2.98e-05,-1.59e-05,1.92e-05,-5.06e-06
2.515090543,0.0005835734999999999,-6.265e-05,2.62e-05,3.185e-05,2.03e-05,3.755e-05,-2.5549999999999998e-05,2.87e-05,-5.37e-06
2.51572327,0.000585413,-6.290000000000001e-05,2.64e-05,3.2000000000000005e-05,2.04e-05,3.76e-05,-2.56e-05,2.87e-05,-5.37e-06
2.516356316,0.0005857505000000001,-6.31e-05,2.645e-05,3.205e-05,2.04e-05,3.7749999999999996e-05,-2.58e-05,2.9e-05,-5.37e-06
2.51698968,0.0005916115,-6.33e-05,2.64e-05,3.2e-05,2.08e-05,3.7500000000000003e-05,-2.52e-05,2.83e-05,-5.29e-06
2.517623364,0.0005892625,-6.34e-05,2.665e-05,3.235e-05,2.0450000000000002e-05,3.8150000000000006e-05,-2.615e-05,2.9350000000000002e-05,-5.4400000000000004e-06
2.518257366,0.000612383,-6.19e-05,2.4050000000000002e-05,2.97e-05,2.31e-05,3.345e-05,-1.9149999999999998e-05,2.255e-05,-5.4400000000000004e-06
2.518891688,0.0006156995000000001,-6.180000000000001e-05,2.38e-05,2.95e-05,2.34e-05,3.31e-05,-1.87e-05,2.21e-05,-5.4400000000000004e-06
2.519526329,0.000598061,-6.41e-05,2.68e-05,3.255e-05,2.1e-05,3.8249999999999995e-05,-2.605e-05,2.94e-05,-5.51e-06
2.52016129,0.000616811,-6.155e-05,2.37e-05,2.9350000000000002e-05,2.31e-05,3.3e-05,-1.865e-05,2.1949999999999998e-05,-5.35e-06
2.520796572,0.0006279885,-5.5549999999999995e-05,1.93e-05,2.49e-05,2.385e-05,2.67e-05,-1.17e-05,1.535e-05,-5.04e-06
2.521432173,0.0006316830000000001,-5.49e-05,1.87e-05,2.42e-05,2.4e-05,2.58e-05,-1.08e-05,1.4550000000000001e-05,-4.88e-06
2.522068096,0.0006180014999999999,-6.38e-05,2.55e-05,3.13e-05,2.26e-05,3.575e-05,-2.2e-05,2.54e-05,-5.5e-06
2.522704339,0.0006211470000000001,-6.42e-05,2.565e-05,3.1450000000000006e-05,2.285e-05,3.5950000000000006e-05,-2.2100000000000002e-05,2.545e-05,-5.58e-06
2.523340903,0.0006317485000000001,-6.305e-05,2.41e-05,2.9900000000000002e-05,2.425e-05,3.345e-05,-1.845e-05,2.215e-05,-5.73e-06
2.523977789,0.0006037239999999999,-6.47e-05,2.7249999999999998e-05,3.3050000000000004e-05,2.065e-05,3.955e-05,-2.7700000000000002e-05,3.165e-05,-6.12e-06
2.524614996,0.0006253845,-6.58e-05,2.67e-05,3.2649999999999994e-05,2.27e-05,3.7749999999999996e-05,-2.4e-05,2.705e-05,-5.49e-06
2.525252525,0.000624206,-6.58e-05,2.675e-05,3.2749999999999996e-05,2.2499999999999998e-05,3.795e-05,-2.455e-05,2.775e-05,-5.65e-06
2.525890376,0.0006343135,-6.645e-05,2.665e-05,3.2749999999999996e-05,2.33e-05,3.7749999999999996e-05,-2.375e-05,2.68e-05,-5.565e-06
2.52652855,0.0006225575,-6.665e-05,2.7799999999999998e-05,3.375e-05,2.1850000000000003e-05,3.965e-05,-2.67e-05,2.985e-05,-5.56e-06
2.527167046,0.0006199725000000001,-6.67e-05,2.8e-05,3.4e-05,2.1550000000000002e-05,4.01e-05,-2.76e-05,3.1e-05,-5.715e-06
2.527805865,0.000639613,-6.69e-05,2.6850000000000002e-05,3.295e-05,2.35e-05,3.8100000000000005e-05,-2.39e-05,2.7e-05,-5.63e-06
2.528445006,0.00063272,-6.7e-05,2.75e-05,3.355e-05,2.27e-05,3.9e-05,-2.55e-05,2.88e-05,-5.7099999999999995e-06
2.529084471,0.0006390445,-6.720000000000001e-05,2.72e-05,3.33e-05,2.33e-05,3.845e-05,-2.44e-05,2.76e-05,-5.63e-06
2.52972426,0.0006227825000000001,-6.71e-05,2.84e-05,3.43e-05,2.1349999999999997e-05,4.0850000000000004e-05,-2.86e-05,3.225e-05,-6.015e-06
2.530364372,0.0006362894999999999,-6.83e-05,2.84e-05,3.46e-05,2.25e-05,4.04e-05,-2.7e-05,3.005e-05,-5.47e-06
2.531004809,0.0006326115,-6.845000000000001e-05,2.895e-05,3.4899999999999995e-05,2.1949999999999998e-05,4.1049999999999995e-05,-2.81e-05,3.13e-05,-5.62e-06
2.53164557,0.000624256,-6.6e-05,2.7700000000000002e-05,3.3600000000000004e-05,2.12e-05,4.08e-05,-2.895e-05,3.3600000000000004e-05,-6.79e-06
2.532286655,0.0006341545,-6.91e-05,2.945e-05,3.545e-05,2.185e-05,4.1649999999999996e-05,-2.8800000000000002e-05,3.185e-05,-5.535e-06
2.532928065,0.0006307940000000001,-6.759999999999999e-05,2.86e-05,3.46e-05,2.15e-05,4.1450000000000005e-05,-2.9199999999999998e-05,3.3299999999999996e-05,-6.39e-06
2.5335698,0.00063842,-6.879999999999999e-05,2.905e-05,3.515e-05,2.2e-05,4.1599999999999995e-05,-2.8899999999999998e-05,3.2500000000000004e-05,-5.92e-06
2.53421186,0.000662153,-6.93e-05,2.7799999999999998e-05,3.415e-05,2.425e-05,3.955e-05,-2.4999999999999998e-05,2.815e-05,-5.84e-06
2.534854246,0.00065427,-7.005e-05,2.9e-05,3.5350000000000005e-05,2.3250000000000003e-05,4.1049999999999995e-05,-2.73e-05,3.035e-05,-5.68e-06
2.535496957,0.000642505,-6.945000000000001e-05,2.95e-05,3.555e-05,2.2e-05,4.2149999999999995e-05,-2.93e-05,3.3050000000000004e-05,-6.07e-06
2.536139995,0.000639303,-6.759999999999999e-05,2.84e-05,3.445e-05,2.18e-05,4.185e-05,-2.96e-05,3.445e-05,-7e-06
2.536783359,0.0006458935,-6.975e-05,2.965e-05,3.575e-05,2.215e-05,4.25e-05,-2.965e-05,3.345e-05,-6.14e-06
2.537427049,0.0006590785,-7.09e-05,2.97e-05,3.595e-05,2.31e-05,4.2000000000000004e-05,-2.84e-05,3.15e-05,-5.75e-06
2.538071066,0.000671706,-7.12e-05,2.895e-05,3.54e-05,2.42e-05,4.105e-05,-2.65e-05,2.9749999999999998e-05,-5.74e-06
2.53871541,0.0006602715,-7.115e-05,2.985e-05,3.615e-05,2.3049999999999998e-05,4.2550000000000004e-05,-2.895e-05,3.225e-05,-5.9e-06
2.539360081,0.0006602464999999999,-7.115e-05,2.9999999999999997e-05,3.625e-05,2.29e-05,4.28e-05,-2.94e-05,3.285e-05,-6.05e-06
2.54000508,0.000683704,-7.05e-05,2.77e-05,3.435e-05,2.56e-05,3.945e-05,-2.41e-05,2.765e-05,-6.12e-06
2.540650407,0.000680568,-7.155e-05,2.8899999999999998e-05,3.5449999999999994e-05,2.48e-05,4.1049999999999995e-05,-2.62e-05,2.95e-05,-5.89e-06
2.541296061,0.0006661315,-7.219999999999999e-05,3.06e-05,3.6950000000000004e-05,2.31e-05,4.3349999999999997e-05,-2.98e-05,3.3050000000000004e-05,-5.88e-06
2.541942044,0.0006628525,-7.15e-05,3.035e-05,3.6649999999999996e-05,2.27e-05,4.355e-05,-3.045e-05,3.4349999999999995e-05,-6.425e-06
2.542588355,0.000663521,-7.170000000000001e-05,3.055e-05,3.685e-05,2.26e-05,4.3750000000000006e-05,-3.07e-05,3.455e-05,-6.34e-06
2.543234995,0.0006627969999999999,-7.01e-05,2.93e-05,3.565e-05,2.2499999999999998e-05,4.3249999999999994e-05,-3.07e-05,3.58e-05,-7.27e-06
2.543881964,0.0006678680000000001,-7.209999999999999e-05,3.07e-05,3.7000000000000005e-05,2.27e-05,4.405e-05,-3.09e-05,3.49e-05,-6.49e-06
2.544529262,0.000667297,-7.19e-05,3.065e-05,3.7000000000000005e-05,2.26e-05,4.415e-05,-3.11e-05,3.5350000000000005e-05,-6.64e-06
2.54517689,0.0006720515000000001,-7.225e-05,3.065e-05,3.7050000000000006e-05,2.29e-05,4.43e-05,-3.11e-05,3.5350000000000005e-05,-6.715e-06
2.545824847,0.000679424,-7.375e-05,3.135e-05,3.78e-05,2.34e-05,4.45e-05,-3.08e-05,3.445e-05,-6.095e-06
2.546473135,0.00069103,-7.465e-05,3.135e-05,3.795e-05,2.43e-05,4.4200000000000004e-05,-2.985e-05,3.3e-05,-5.785e-06
2.547121752,0.0006808135,-7.375e-05,3.14e-05,3.8e-05,2.33e-05,4.4850000000000006e-05,-3.13e-05,3.505e-05,-6.32e-06
2.547770701,0.000678772,-7.13e-05,2.96e-05,3.6099999999999997e-05,2.31e-05,4.415e-05,-3.14e-05,3.68e-05,-7.625000000000001e-06
